client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
d328f994e493b856989f2e208905450bf53f6b6afd382ce908d5fb15722c960985d4e225a82c5f942250d75f13839a3e94e3fab07164b77f486d0a19e9071382	common_voice_te_40116708.mp3	3016f804483380b2b5571d600ebd0b71f6791492c43d7bd141b1ed20d7ca9a3f	నాకు మీ పేరు తెలియదు		2	0			Andhra,Telangana		te	
d328f994e493b856989f2e208905450bf53f6b6afd382ce908d5fb15722c960985d4e225a82c5f942250d75f13839a3e94e3fab07164b77f486d0a19e9071382	common_voice_te_40116755.mp3	41d70a3d43ff4019042cbb30f995c707ff086e1de3154e35f873e136029e4348	అలాగే కమ్యూనికేషన్ వ్యవస్థను బలోపేతం చేసుకొనేందుకు అంగీకరించారు.		2	0	twenties	male_masculine	Andhra,Telangana		te	
d328f994e493b856989f2e208905450bf53f6b6afd382ce908d5fb15722c960985d4e225a82c5f942250d75f13839a3e94e3fab07164b77f486d0a19e9071382	common_voice_te_40116810.mp3	3ce19091efe95c2dee2eff811fbb5f4868dbc885be2e24bba34bc91521d1eb7e	ఆ మందహాసమని భావము		2	0	twenties	male_masculine	Andhra,Telangana		te	
d328f994e493b856989f2e208905450bf53f6b6afd382ce908d5fb15722c960985d4e225a82c5f942250d75f13839a3e94e3fab07164b77f486d0a19e9071382	common_voice_te_40116811.mp3	71722a549daa7744b66c6ee2f2554157bb44c16f14d8b4095783e0d8a0ffbed0	అందుకే పూర్తి వివరాలు సేకరిస్తున్నాము		2	0	twenties	male_masculine	Andhra,Telangana		te	
d328f994e493b856989f2e208905450bf53f6b6afd382ce908d5fb15722c960985d4e225a82c5f942250d75f13839a3e94e3fab07164b77f486d0a19e9071382	common_voice_te_40116838.mp3	3a4b6b6849611fbc0f3a8fc4308bc1a8710094ae69a51ce4b72216ec9c07567a	ఆ అబ్బాయి చెడ్డవాడు.		4	0	twenties	male_masculine	Andhra,Telangana		te	
d328f994e493b856989f2e208905450bf53f6b6afd382ce908d5fb15722c960985d4e225a82c5f942250d75f13839a3e94e3fab07164b77f486d0a19e9071382	common_voice_te_40116850.mp3	7fd3c499df62923b8817c5750f63e3f8a3b58cc825d05067636d1f1e4fdcb42b	ఆత్మరక్షణకు మనిషి అణ్వాయుధాలను కనిపెట్టాడు.		2	0	twenties	male_masculine	Andhra,Telangana		te	
d328f994e493b856989f2e208905450bf53f6b6afd382ce908d5fb15722c960985d4e225a82c5f942250d75f13839a3e94e3fab07164b77f486d0a19e9071382	common_voice_te_40116933.mp3	01013cf91453cee7edb15bf197572ce0c77e434a7ecfb5e92d199fbb917feac6	ఊరులు పల్లెలు నారులు		2	0	twenties	male_masculine	Andhra,Telangana		te	
d328f994e493b856989f2e208905450bf53f6b6afd382ce908d5fb15722c960985d4e225a82c5f942250d75f13839a3e94e3fab07164b77f486d0a19e9071382	common_voice_te_40116937.mp3	eb7a4295c20a1df381e98bd57812f07026fe1c3a428569f3434ad150605ad580	జిల్లా మొత్తం వర్షాలు పడ్డాయి.		2	0	twenties	male_masculine	Andhra,Telangana		te	
d328f994e493b856989f2e208905450bf53f6b6afd382ce908d5fb15722c960985d4e225a82c5f942250d75f13839a3e94e3fab07164b77f486d0a19e9071382	common_voice_te_40127040.mp3	ba3944e65888bc849a53d36a786a1993f93b063aebf26792562396299cd8bb49	దింతో అసలు విషయం వెలుగుచూసింది		2	0	twenties	male_masculine	Andhra,Telangana		te	
d328f994e493b856989f2e208905450bf53f6b6afd382ce908d5fb15722c960985d4e225a82c5f942250d75f13839a3e94e3fab07164b77f486d0a19e9071382	common_voice_te_40127041.mp3	8a9f2fdadd6074313253985fb2b60054dbcc54c82a922263fdbe5e05f31a9e3e	దేహయష్టి కాదు తెజస్సు ముఖ్యంబు		2	0	twenties	male_masculine	Andhra,Telangana		te	
